estado,inicio,varinicio,varfim,pt_v,id,vir,inteiro,real,literal,leia,escreva,lit,num,rcb,opm,se,ab_p,fc_p,entao,opr,fimse,repita,fimrepita,fim,$,P',P,V,LV,D,L,TIPO,A,ES,ARG,CMD,LD,OPRD,COND,CAB,EXP_R,CP,R,CABR,CPR
52,,,,,r13,,,,,r13,r13,,,,,r13,,,,,r13,r13,r13,r13,erro_fim,,,,,,,,,,,,,,,,,,,,
53,erro_ptv,erro_ptv,erro_ptv,s68,erro_ptv,erro_ptv,erro_ptv,erro_ptv,erro_ptv,erro_ptv,erro_ptv,erro_ptv,erro_ptv,erro_ptv,erro_ptv,erro_ptv,erro_ptv,erro_ptv,erro_ptv,erro_ptv,erro_ptv,erro_ptv,erro_ptv,erro_ptv,erro_fim,,,,,,,,,,,,,,,,,,,,
54,,,,r20,,,,,,,,,,,s69,,,,,,,,,,erro_fim,,,,,,,,,,,,,,,,,,,,
55,erro_exp,erro_exp,erro_exp,r21,erro_exp,erro_exp,erro_exp,erro_exp,erro_exp,erro_exp,erro_exp,erro_exp,erro_exp,erro_exp,r21,erro_exp,erro_exp,r21,erro_exp,r21,erro_exp,erro_exp,erro_exp,erro_exp,erro_fim,,,,,,,,,,,,,,,,,,,,
56,erro_exp,erro_exp,erro_exp,r22,erro_exp,erro_exp,erro_exp,erro_exp,erro_exp,erro_exp,erro_exp,erro_exp,erro_exp,erro_exp,r22,erro_exp,erro_exp,r22,erro_exp,r22,erro_exp,erro_exp,erro_exp,erro_exp,erro_fim,,,,,,,,,,,,,,,,,,,,
57,,,,,r27,,,,,r27,r27,,,,,r27,,,,,r27,r27,r27,r27,erro_fim,,,,,,,,,,,,,,,,,,,,
58,,,,,r28,,,,,r28,r28,,,,,r28,,,,,r28,r28,r28,r28,erro_fim,,,,,,,,,,,,,,,,,,,,
59,,,,,r29,,,,,r29,r29,,,,,r29,,,,,r29,r29,r29,r29,erro_fim,,,,,,,,,,,,,,,,,,,,
60,,,,,r34,,,,,r34,r34,,,,,r34,,,,,,r34,,r34,erro_fim,,,,,,,,,,,,,,,,,,,,
61,,,,,r35,,,,,r35,r35,,,,,r35,,,,,,r35,,r35,erro_fim,,,,,,,,,,,,,,,,,,,,
62,,,,,r36,,,,,r36,r36,,,,,r36,,,,,,r36,,r36,erro_fim,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,s70,,,,,,,erro_fim,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,s71,,,,,erro_fim,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,s72,,,,,,,erro_fim,,,,,,,,,,,,,,,,,,,,
66,,,r5,,,,r5,r5,r5,,,,,,,,,,,,,,,,erro_fim,,,,,,,,,,,,,,,,,,,,
67,,,,,s50,,,,,,,,,,,,,,,,,,,,erro_fim,,,,,,73,,,,,,,,,,,,,,
68,,,,,r18,,,,,r18,r18,,,,,r18,,,,,r18,r18,r18,r18,erro_fim,,,,,,,,,,,,,,,,,,,,
69,,,,,s55,,,,,,,,s56,,,,,,,,,,,,erro_fim,,,,,,,,,,,,,74,,,,,,,
70,,,,,,,,,,,,,,,,,,,s75,,,,,,erro_fim,,,,,,,,,,,,,,,,,,,,
71,,,,,s55,,,,,,,,s56,,,,,,,,,,,,erro_fim,,,,,,,,,,,,,76,,,,,,,
72,,,,,r33,,,,,r33,r33,,,,,r33,,,,,,,r33,,erro_fim,,,,,,,,,,,,,,,,,,,,
73,,,,r6,,,,,,,,,,,,,,,,,,,,,erro_fim,,,,,,,,,,,,,,,,,,,,
74,,,,r19,,,,,,,,,,,,,,,,,,,,,erro_fim,,,,,,,,,,,,,,,,,,,,
75,,,,,r25,,,,,r25,r25,,,,,r25,,,,,r25,,,,erro_fim,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,r26,,,,,,,erro_fim,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,erro_fim,,,,,,,,,,,,,,,,,,,,
